,Team,Runner,Yards,Run Time,Min,Max,Avg,Nationality,Gen,Age,Yard 1,Yard 2,Yard 3,Yard 4,Yard 5,Yard 6,Yard 7,Yard 8,Yard 9,Yard 10,Yard 11,Yard 12,Yard 13,Yard 14,Yard 15,Yard 16,Yard 17,Yard 18,Yard 19,Yard 20,Yard 21,Yard 22,Yard 23,Yard 24,Yard 25,Yard 26,Yard 27,Yard 28,Yard 29,Yard 30,Yard 31,Yard 32,Yard 33,Yard 34,Yard 35,Yard 36,Yard 37,Yard 38,Yard 39,Yard 40,Yard 41,Yard 42,Yard 43,Yard 44,Yard 45,Yard 46,Yard 47,Yard 48,Yard 49,Yard 50,Yard 51,Yard 52,Yard 53,Yard 54,Yard 55,Yard 56,Yard 57,Yard 58,Yard 59,Yard 60,Yard 61,Yard 62,Yard 63,Yard 64,Yard 65,Yard 66,Yard 67,Yard 68,Yard 69,Yard 70,Yard 71,Yard 72,Yard 73,Yard 74,Yard 75
123,Ireland,Donna Owens,30,26:13:41,46:59:00,56:04:00,52:27:00,Northern Ireland,F,,46:59:00,49:50:00,47:22:00,50:47:00,52:02:00,52:09:00,51:53:00,52:06:00,52:39:00,52:10:00,52:49:00,52:47:00,52:39:00,52:26:00,53:32:00,53:46:00,53:36:00,54:08:00,53:35:00,52:18:00,51:39:00,52:04:00,52:27:00,52:26:00,52:40:00,52:50:00,54:13:00,55:02:00,54:43:00,56:04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,United Kingdom,Seán Nickell,30,26:17:09,46:32:00,58:57:00,52:34:00,Northern Ireland,M,,46:32:00,50:35:00,50:24:00,49:00:00,49:00:00,54:13:00,49:59:00,52:00:00,51:08:00,51:06:00,49:05:00,49:30:00,50:30:00,50:54:00,49:17:00,52:23:00,52:34:00,52:16:00,53:03:00,52:14:00,52:48:00,55:26:00,55:13:00,56:47:00,55:01:00,54:43:00,55:52:00,58:22:00,58:17:00,58:57:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Japan,Kesuke TANAKA,30,26:21:16,49:41:00,55:50:00,52:43:00,Japan,M,38,53:10:00,53:35:00,52:12:00,51:20:00,53:37:00,51:27:00,52:16:00,55:50:00,51:17:00,51:28:00,49:41:00,51:30:00,51:35:00,51:54:00,51:29:00,51:24:00,51:33:00,52:16:00,52:21:00,52:12:00,53:02:00,51:04:00,54:11:00,54:16:00,52:06:00,55:15:00,55:40:00,53:16:00,54:39:00,55:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Spain,Ionel Cristian Malone,29,22:27:48,2:22,51:41:00,46:29:00,Romania,M,32,46:32:00,48:05:00,48:02:00,46:40:00,44:28:00,44:28:00,47:50:00,49:11:00,47:48:00,47:24:00,48:41:00,49:44:00,50:06:00,51:38:00,46:36:00,46:03:00,45:30:00,49:30:00,50:18:00,43:28:00,46:24:00,47:53:00,48:07:00,48:07:00,51:41:00,49:43:00,50:24:00,51:05:00,2:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,France,David Barranger,29,22:54:14,37:36:00,58:17:00,47:23:00,France,M,43,48:30:00,51:35:00,47:03:00,47:25:00,47:35:00,47:19:00,47:39:00,46:56:00,47:09:00,47:33:00,47:20:00,46:02:00,52:31:00,48:16:00,47:32:00,47:57:00,48:02:00,49:48:00,47:43:00,48:12:00,47:00:00,44:03:00,45:20:00,37:36:00,41:38:00,47:32:00,41:08:00,49:33:00,58:17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Canada,Myron Tetreault,29,23:10:42,44:32:00,56:14:00,47:57:00,Canadian,M,53,47:21:00,46:17:00,44:35:00,44:32:00,48:06:00,46:49:00,46:21:00,46:08:00,48:43:00,46:14:00,48:55:00,45:11:00,47:03:00,47:55:00,46:58:00,46:17:00,47:32:00,47:27:00,46:50:00,47:32:00,48:05:00,47:17:00,49:20:00,51:24:00,50:01:00,49:28:00,48:12:00,53:55:00,56:14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Singapore,Jasmine Goh,29,23:34:17,46:32:00,53:00:00,48:46:00,SINGAPOREAN,F,41,53:00:00,52:00:00,49:30:00,48:29:00,48:53:00,49:53:00,49:24:00,49:38:00,48:36:00,51:57:00,47:45:00,48:44:00,48:18:00,48:18:00,47:15:00,46:32:00,48:03:00,47:37:00,47:07:00,46:50:00,46:57:00,47:28:00,48:45:00,48:38:00,48:43:00,48:46:00,48:38:00,46:38:00,51:55:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Switzerland,Luzia Bühler,29,24:12:16,47:16:00,55:36:00,50:05:00,Switzerland,F,38,49:00:00,51:41:00,50:35:00,49:50:00,49:52:00,47:16:00,49:58:00,49:14:00,48:30:00,49:42:00,48:20:00,49:10:00,50:01:00,49:18:00,49:45:00,47:58:00,49:48:00,49:15:00,48:39:00,48:50:00,47:26:00,50:48:00,49:59:00,50:34:00,52:09:00,51:37:00,55:36:00,52:23:00,55:02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Finland,Jani Hitonen,29,24:14:34,47:49:00,54:45:00,50:09:00,Finland,M,44,47:49:00,48:10:00,48:37:00,49:20:00,49:15:00,49:30:00,49:50:00,50:08:00,50:15:00,50:05:00,50:20:00,49:55:00,50:10:00,50:00:00,49:40:00,50:10:00,50:50:00,50:20:00,49:35:00,49:35:00,49:00:00,50:10:00,50:10:00,50:20:00,50:30:00,50:15:00,52:15:00,53:35:00,54:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Russia,Tatyana Maslova,28,22:43:39,45:33:00,53:55:00,48:42:00,Russia,F,,45:33:00,47:00:00,46:50:00,50:40:00,47:10:00,47:02:00,47:10:00,47:24:00,50:30:00,50:00:00,47:45:00,49:40:00,48:05:00,49:51:00,48:20:00,49:07:00,50:00:00,47:16:00,47:45:00,47:40:00,48:00:00,48:50:00,48:50:00,48:50:00,49:11:00,50:10:00,51:05:00,53:55:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Switzerland,Leona Knüsel,28,23:02:46,44:59:00,55:44:00,49:23:00,Switzerland,F,26,49:06:00,49:30:00,51:01:00,51:22:00,51:03:00,46:59:00,49:38:00,49:11:00,44:59:00,47:13:00,49:37:00,47:28:00,50:22:00,48:47:00,49:25:00,48:44:00,49:31:00,48:46:00,48:48:00,46:15:00,46:00:00,51:42:00,49:07:00,49:55:00,53:16:00,51:02:00,48:15:00,55:44:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Finland,Jani Saarinen,28,23:05:46,46:01:00,58:15:00,49:30:00,Finland,M,47,46:01:00,47:52:00,46:58:00,48:40:00,47:45:00,48:15:00,48:40:00,48:40:00,49:20:00,48:35:00,49:10:00,49:15:00,49:25:00,49:00:00,49:30:00,49:00:00,49:15:00,48:15:00,47:55:00,47:20:00,47:20:00,48:30:00,48:35:00,49:35:00,52:40:00,54:50:00,57:10:00,58:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Spain,Jose Luis Martinez Hervas,28,23:07:44,43:39:00,53:50:00,49:34:00,Spain ,M,43,47:23:00,48:08:00,50:28:00,49:25:00,43:39:00,50:34:00,50:23:00,51:12:00,48:31:00,49:33:00,50:58:00,49:40:00,49:33:00,51:14:00,49:52:00,51:31:00,50:22:00,49:16:00,51:04:00,48:37:00,46:57:00,46:37:00,47:41:00,47:41:00,50:44:00,51:37:00,51:14:00,53:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,United Kingdom,Gareth King,28,23:17:08,47:57:00,52:50:00,49:54:00,Northern Ireland,M,,48:48:00,50:38:00,50:40:00,47:57:00,48:56:00,51:16:00,49:49:00,50:06:00,51:10:00,49:40:00,49:40:00,48:47:00,50:13:00,49:24:00,49:39:00,48:33:00,49:44:00,49:28:00,50:52:00,49:08:00,48:52:00,49:39:00,48:20:00,50:16:00,50:28:00,49:42:00,52:33:00,52:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Finland,Heikki Hihnala,28,23:19:56,47:08:00,56:25:00,50:00:00,Finland,M,38,47:08:00,48:58:00,48:35:00,49:00:00,47:10:00,48:40:00,49:10:00,48:50:00,49:20:00,49:20:00,50:10:00,50:05:00,50:05:00,50:30:00,49:40:00,50:20:00,49:35:00,49:00:00,49:20:00,49:00:00,49:10:00,50:00:00,49:40:00,50:00:00,51:50:00,53:35:00,55:20:00,56:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Switzerland,Christian Knapp,28,23:25:15,41:30:00,55:46:00,50:11:00,Switzerland,M,53,49:06:00,52:47:00,50:58:00,51:12:00,49:52:00,49:27:00,50:14:00,41:30:00,48:25:00,50:16:00,48:26:00,50:45:00,51:59:00,49:16:00,52:43:00,50:30:00,50:36:00,52:00:00,51:09:00,43:34:00,47:17:00,47:32:00,49:24:00,55:42:00,51:05:00,50:36:00,53:08:00,55:46:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,France,Aurélien Sanchez,28,23:29:40,46:08:00,56:44:00,50:21:00,France,M,29,46:28:00,48:15:00,48:39:00,51:23:00,47:10:00,47:21:00,48:02:00,47:36:00,47:42:00,47:01:00,48:12:00,46:08:00,49:33:00,52:09:00,49:36:00,51:39:00,50:20:00,50:04:00,48:29:00,48:23:00,53:42:00,53:22:00,53:47:00,51:47:00,54:13:00,55:50:00,56:44:00,56:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Denmark,Jesper Elfving,28,23:43:23,45:33:00,58:40:00,50:50:00,Danish,M,59,45:33:00,51:30:00,50:00:00,49:00:00,49:00:00,50:00:00,50:05:00,48:30:00,50:10:00,49:20:00,49:55:00,50:10:00,50:55:00,52:00:00,52:15:00,50:55:00,50:50:00,50:05:00,49:30:00,49:30:00,49:55:00,50:05:00,51:30:00,51:20:00,53:00:00,54:45:00,54:55:00,58:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,United Kingdom,Graeme Black,28,23:45:36,48:35:00,56:55:00,50:55:00,Northern Ireland,M,,48:35:00,50:31:00,49:36:00,49:02:00,50:35:00,51:21:00,50:43:00,50:42:00,51:47:00,50:35:00,51:17:00,50:53:00,50:59:00,51:22:00,50:09:00,50:04:00,51:08:00,51:27:00,51:21:00,49:32:00,50:20:00,50:35:00,50:47:00,50:47:00,50:23:00,51:23:00,52:47:00,56:55:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,United Kingdom,Dave Stevenson,28,23:49:37,48:34:00,56:56:00,51:03:00,Northern Ireland,M,,48:34:00,51:15:00,50:19:00,49:02:00,49:02:00,51:22:00,52:08:00,51:26:00,52:03:00,50:46:00,50:53:00,51:37:00,50:11:00,49:50:00,49:45:00,50:27:00,51:11:00,51:58:00,51:28:00,49:35:00,49:24:00,49:59:00,50:55:00,51:10:00,51:10:00,52:33:00,54:38:00,56:56:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Ireland,Finn O'Mara,28,24:27:02,45:56:00,57:33:00,52:24:00,Irish,F,,45:56:00,49:02:00,49:29:00,48:41:00,50:29:00,51:41:00,49:28:00,50:44:00,51:49:00,51:18:00,49:27:00,50:52:00,53:36:00,51:50:00,50:41:00,52:17:00,54:59:00,55:11:00,55:23:00,55:35:00,55:35:00,53:28:00,53:51:00,53:40:00,53:38:00,54:22:00,56:27:00,57:33:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Germany,Tobias Krumm,27,19:57:51,35:42:00,52:25:00,44:22:00,Germany,M,42,40:05:00,42:31:00,40:55:00,41:13:00,40:46:00,44:40:00,42:28:00,48:07:00,46:36:00,42:42:00,48:32:00,46:48:00,35:42:00,52:01:00,48:20:00,44:25:00,43:11:00,39:07:00,43:19:00,42:08:00,43:16:00,42:44:00,43:35:00,43:51:00,46:46:00,51:38:00,52:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Germany,Wolfgang Neuweiler,27,21:06:31,39:30:00,57:27:00,46:54:00,Germany,M,45,43:56:00,43:52:00,45:41:00,44:58:00,47:42:00,39:30:00,46:29:00,47:21:00,47:17:00,47:56:00,48:37:00,46:42:00,46:36:00,48:14:00,46:27:00,46:12:00,47:05:00,46:42:00,48:03:00,50:38:00,46:11:00,46:12:00,45:34:00,43:52:00,47:48:00,49:29:00,57:27:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Belgium,Lejeune Sylvain,27,21:20:34,41:15:00,52:15:00,47:26:00,BE,M,33,41:44:00,44:37:00,44:35:00,47:07:00,47:29:00,47:26:00,47:38:00,47:34:00,45:48:00,47:26:00,47:28:00,46:57:00,41:15:00,48:00:00,48:56:00,49:18:00,47:39:00,47:36:00,49:41:00,47:14:00,47:37:00,49:45:00,48:17:00,47:09:00,49:15:00,50:48:00,52:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Finland,Jaakko Eskelinen,27,21:46:42,45:15:00,56:00:00,48:24:00,Finland,M,34,46:00:00,47:52:00,47:25:00,49:00:00,47:45:00,48:30:00,49:20:00,48:40:00,48:55:00,47:55:00,48:40:00,49:15:00,50:00:00,48:25:00,46:40:00,49:30:00,48:10:00,46:40:00,47:50:00,47:15:00,47:00:00,47:50:00,49:00:00,48:40:00,49:10:00,45:15:00,56:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Denmark,Gritt Jakobsen,27,21:54:40,45:00:00,53:50:00,48:41:00,Danish,F,42,45:00:00,47:00:00,47:00:00,47:00:00,48:00:00,48:00:00,49:15:00,48:00:00,49:30:00,48:20:00,49:30:00,49:00:00,48:50:00,48:55:00,48:50:00,48:35:00,49:00:00,48:20:00,47:55:00,47:25:00,48:10:00,48:25:00,48:45:00,49:05:00,50:30:00,52:30:00,53:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Finland,Jani Lempinen,27,22:01:35,43:10:00,52:45:00,48:57:00,Finland,M,41,47:07:00,48:58:00,48:35:00,49:10:00,47:45:00,43:10:00,48:25:00,48:40:00,49:00:00,50:35:00,50:30:00,50:35:00,50:50:00,50:05:00,49:40:00,49:40:00,49:35:00,48:05:00,47:40:00,47:20:00,47:10:00,48:20:00,46:10:00,49:30:00,50:50:00,52:45:00,51:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Finland,Lari Koivu,27,22:03:41,44:40:00,54:15:00,49:02:00,Finland,M,40,46:22:00,48:10:00,44:40:00,47:52:00,47:00:00,48:35:00,46:20:00,50:07:00,48:35:00,48:35:00,49:00:00,50:10:00,49:45:00,48:25:00,48:25:00,50:30:00,48:55:00,49:50:00,48:00:00,47:45:00,48:00:00,49:50:00,48:35:00,50:50:00,51:35:00,53:35:00,54:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Canada,Jeremy Welwood,27,22:28:55,46:17:00,59:02:00,49:58:00,Canadian,M,38,47:21:00,46:17:00,46:51:00,49:20:00,47:46:00,46:49:00,46:43:00,46:35:00,46:57:00,46:25:00,46:20:00,48:02:00,48:20:00,51:24:00,52:29:00,50:05:00,50:13:00,50:38:00,50:33:00,49:15:00,50:20:00,51:33:00,52:38:00,52:52:00,56:33:00,57:34:00,59:02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Ukraine,Sergey Cheremisin ,27,22:37:21,44:37:00,54:08:00,50:16:00,Ukraine,M,40,50:56:00,52:03:00,51:21:00,50:54:00,52:40:00,50:28:00,49:32:00,45:53:00,51:24:00,44:44:00,52:41:00,44:37:00,53:22:00,50:35:00,54:08:00,47:26:00,49:10:00,50:32:00,50:46:00,51:27:00,45:50:00,53:05:00,52:17:00,52:25:00,53:05:00,51:14:00,44:46:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Switzerland,Ole Evers ,27,22:49:40,46:52:00,58:54:00,50:44:00,Germany ,M,26,49:05:00,51:13:00,50:53:00,50:00:00,53:35:00,46:52:00,50:01:00,53:04:00,47:52:00,50:32:00,49:39:00,49:14:00,49:55:00,49:09:00,51:48:00,47:52:00,54:29:00,48:49:00,48:44:00,51:25:00,47:13:00,51:01:00,49:24:00,54:57:00,52:11:00,51:49:00,58:54:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,United Kingdom,Adam McKee,27,22:53:01,46:54:00,54:57:00,50:51:00,Northern Ireland,M,,48:44:00,51:31:00,50:44:00,51:12:00,51:33:00,54:10:00,50:43:00,50:28:00,52:11:00,51:16:00,52:44:00,48:32:00,51:06:00,50:43:00,51:43:00,52:07:00,52:12:00,51:10:00,51:43:00,49:29:00,48:43:00,46:54:00,48:05:00,47:31:00,51:41:00,51:09:00,54:57:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Russia,Gennady Karasev,27,23:11:32,47:00:00,59:01:00,51:32:00,Russia,M,,47:00:00,49:40:00,49:01:00,51:20:00,48:10:00,48:03:00,48:40:00,50:30:00,50:35:00,49:30:00,51:07:00,50:19:00,51:05:00,51:59:00,51:10:00,52:00:00,50:08:00,48:24:00,49:50:00,51:50:00,55:05:00,53:30:00,55:00:00,56:30:00,55:20:00,59:01:00,56:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Germany,Klaus Mantel,27,23:38:16,48:04:00,57:04:00,52:32:00,Germany,M,57,48:12:00,50:48:00,48:04:00,51:06:00,51:09:00,51:18:00,49:09:00,53:51:00,54:29:00,53:53:00,54:55:00,55:53:00,51:11:00,52:44:00,51:47:00,52:11:00,52:45:00,52:00:00,50:24:00,51:07:00,52:48:00,53:03:00,53:08:00,54:36:00,53:53:00,57:04:00,56:48:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Japan,Yohei YAMANOMOTO,27,23:53:46,49:09:00,58:52:00,53:06:00,Japan,M,35,53:53:00,54:36:00,52:00:00,53:34:00,49:09:00,52:54:00,52:45:00,53:39:00,52:49:00,51:41:00,51:27:00,51:08:00,51:25:00,52:02:00,52:17:00,52:30:00,51:58:00,52:56:00,53:13:00,54:01:00,53:24:00,53:14:00,54:05:00,54:46:00,54:21:00,55:07:00,58:52:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Denmark,Dorte Dahl,26,20:15:51,41:50:00,53:10:00,46:46:00,Danish,F,55,45:00:00,47:00:00,46:00:00,46:00:00,46:00:00,47:00:00,47:12:00,44:19:00,47:30:00,44:00:00,47:50:00,47:10:00,48:30:00,48:55:00,48:15:00,46:10:00,48:05:00,47:20:00,45:20:00,45:40:00,46:30:00,46:45:00,46:15:00,41:50:00,48:05:00,53:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Russia,Irina Masanova,26,20:21:30,44:14:00,49:50:00,46:59:00,Russia,F,,45:45:00,44:14:00,44:58:00,47:52:00,45:20:00,45:45:00,44:55:00,45:40:00,45:24:00,47:10:00,46:32:00,47:27:00,48:58:00,49:50:00,49:12:00,49:01:00,49:10:00,47:15:00,47:45:00,46:30:00,46:22:00,46:20:00,46:35:00,46:40:00,48:10:00,48:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Sweden,DIana Kämpe,26,20:34:53,45:14:00,52:50:00,47:30:00,Sweden,F,46,46:25:00,45:14:00,46:05:00,46:26:00,46:32:00,47:11:00,47:30:00,47:03:00,46:45:00,46:57:00,46:33:00,47:54:00,47:39:00,47:09:00,48:10:00,48:19:00,47:33:00,48:11:00,46:07:00,46:23:00,46:46:00,47:56:00,48:16:00,48:13:00,50:46:00,52:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Denmark,Morten Klingenberg,26,20:54:59,43:50:00,56:20:00,48:16:00,Danish,M,35,44:00:00,48:00:00,50:00:00,49:00:00,49:00:00,50:00:00,50:02:00,48:30:00,47:17:00,44:30:00,47:45:00,47:05:00,49:05:00,48:55:00,47:00:00,48:45:00,47:10:00,46:50:00,43:50:00,48:15:00,48:30:00,48:10:00,46:10:00,50:20:00,50:30:00,56:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Australia,John Pearson,26,20:57:58,43:46:00,51:47:00,48:23:00,England,M,48,50:15:00,48:07:00,49:22:00,45:28:00,48:14:00,45:51:00,46:31:00,43:46:00,45:45:00,46:56:00,47:08:00,45:30:00,49:53:00,49:33:00,50:01:00,48:09:00,49:29:00,48:36:00,49:22:00,48:43:00,51:42:00,48:51:00,50:10:00,48:05:00,51:47:00,50:44:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Belarus,Aksana Sulimchik,26,21:09:07,45:00:00,50:41:00,48:49:00,Belarus,F,34,45:00:00,49:02:00,48:24:00,49:54:00,49:33:00,49:35:00,47:14:00,48:15:00,48:39:00,48:58:00,50:10:00,48:39:00,50:15:00,50:15:00,49:45:00,50:41:00,49:05:00,50:08:00,46:43:00,48:06:00,48:33:00,47:30:00,47:15:00,48:33:00,48:55:00,50:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Switzerland,Luca Ambrosini,26,21:09:15,43:52:00,52:38:00,48:49:00,Italy,M,36,49:08:00,51:09:00,49:11:00,49:49:00,43:52:00,47:07:00,48:43:00,47:36:00,47:02:00,48:06:00,48:17:00,47:25:00,50:25:00,49:06:00,49:33:00,52:38:00,49:29:00,48:43:00,47:49:00,44:21:00,45:15:00,50:50:00,49:55:00,50:01:00,51:55:00,51:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,France,Remy Jegard,26,21:12:12,43:39:00,54:52:00,48:56:00,France,M,50,46:30:00,49:04:00,47:23:00,46:26:00,47:06:00,48:24:00,45:38:00,46:57:00,46:52:00,47:22:00,46:24:00,46:34:00,50:39:00,49:54:00,50:22:00,52:40:00,49:50:00,49:54:00,48:49:00,43:39:00,50:18:00,48:30:00,52:20:00,51:19:00,54:52:00,54:26:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Spain,Francisco Javier Barrera Gomez,26,21:23:33,46:54:00,57:36:00,49:22:00,Spain,M,31,46:54:00,47:06:00,50:45:00,48:38:00,47:51:00,48:10:00,49:44:00,49:13:00,48:55:00,48:30:00,49:18:00,49:22:00,49:19:00,49:34:00,50:49:00,47:05:00,48:35:00,49:38:00,50:21:00,48:18:00,48:15:00,48:59:00,49:14:00,49:14:00,52:10:00,57:36:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,New Zealand,Shaun Collins,26,21:28:54,43:50:00,55:00:00,49:34:00,New Zealand,M,,48:54:00,47:51:00,48:10:00,47:48:00,48:15:00,46:53:00,43:50:00,47:27:00,48:06:00,49:43:00,53:09:00,52:03:00,49:00:00,49:59:00,55:00:00,49:50:00,50:27:00,49:26:00,48:28:00,51:24:00,48:30:00,47:36:00,49:15:00,50:12:00,53:48:00,53:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Spain,Israel Pastor Corredor,26,21:39:39,44:11:00,57:31:00,49:59:00,Spain,M,40,47:11:00,47:55:00,48:13:00,46:39:00,44:11:00,44:24:00,47:40:00,49:17:00,48:10:00,46:55:00,48:01:00,46:57:00,48:00:00,50:54:00,49:05:00,51:05:00,49:29:00,53:23:00,51:28:00,50:14:00,51:32:00,53:14:00,55:22:00,55:22:00,57:27:00,57:31:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,United Kingdom,Rachel Piper,26,22:26:35,49:52:00,53:00:00,51:48:00,English,F,,50:54:00,51:31:00,50:50:00,51:18:00,51:31:00,53:00:00,51:54:00,51:55:00,51:48:00,50:51:00,52:12:00,51:43:00,52:16:00,52:26:00,52:13:00,52:14:00,52:50:00,52:45:00,51:54:00,50:58:00,51:36:00,52:37:00,49:52:00,51:20:00,52:39:00,51:28:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Sweden,Henrik Bengtsson,26,22:39:25,49:42:00,57:53:00,52:17:00,Sweden,M,42,54:47:00,51:26:00,52:55:00,51:51:00,52:27:00,52:42:00,51:31:00,52:37:00,51:54:00,52:12:00,51:53:00,51:19:00,51:35:00,51:30:00,51:25:00,49:42:00,51:54:00,52:04:00,51:11:00,51:41:00,50:47:00,52:13:00,52:30:00,52:25:00,55:01:00,57:53:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Japan,Norimasa UCHIDA,26,22:54:10,49:12:00,57:17:00,52:51:00,Japan,M,49,53:10:00,53:15:00,52:16:00,51:28:00,52:05:00,53:00:00,52:10:00,54:34:00,54:14:00,51:07:00,49:12:00,51:19:00,51:35:00,50:08:00,52:03:00,51:19:00,52:10:00,52:36:00,52:36:00,53:02:00,53:51:00,52:20:00,54:25:00,56:03:00,56:55:00,57:17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,United States,Brian Trinkle,26,23:01:28,48:55:00,59:38:00,53:08:00,USA,M,58,53:17:00,56:37:00,54:58:00,53:31:00,53:23:00,54:36:00,53:33:00,54:51:00,55:13:00,54:27:00,55:10:00,49:21:00,48:55:00,50:42:00,49:18:00,51:48:00,49:49:00,49:12:00,50:34:00,53:38:00,52:35:00,52:37:00,53:31:00,51:32:00,59:38:00,58:42:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Ireland,Peter Swann,26,23:06:00,48:57:00,55:46:00,53:18:00,Northern Ireland,M,,49:22:00,53:21:00,53:35:00,48:57:00,53:30:00,55:01:00,53:51:00,53:38:00,53:27:00,53:07:00,53:49:00,54:08:00,55:04:00,51:05:00,53:15:00,51:56:00,52:14:00,54:49:00,54:20:00,52:22:00,51:39:00,54:01:00,54:44:00,53:35:00,55:24:00,55:46:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
