,Team,Runner,Yards,Run Time,Min,Max,Avg,Nationality,Gen,Age,Yard 1,Yard 2,Yard 3,Yard 4,Yard 5,Yard 6,Yard 7,Yard 8,Yard 9,Yard 10,Yard 11,Yard 12,Yard 13,Yard 14,Yard 15,Yard 16,Yard 17,Yard 18,Yard 19,Yard 20,Yard 21,Yard 22,Yard 23,Yard 24,Yard 25,Yard 26,Yard 27,Yard 28,Yard 29,Yard 30,Yard 31,Yard 32,Yard 33,Yard 34,Yard 35,Yard 36,Yard 37,Yard 38,Yard 39,Yard 40,Yard 41,Yard 42,Yard 43,Yard 44,Yard 45,Yard 46,Yard 47,Yard 48,Yard 49,Yard 50,Yard 51,Yard 52,Yard 53,Yard 54,Yard 55,Yard 56,Yard 57,Yard 58,Yard 59,Yard 60,Yard 61,Yard 62,Yard 63,Yard 64,Yard 65,Yard 66,Yard 67,Yard 68,Yard 69,Yard 70,Yard 71,Yard 72,Yard 73,Yard 74,Yard 75
92,Ireland,Marty Hagan,32,28:10:37,47:02:00,58:13:00,52:50:00,Northern Ireland,M,,47:02:00,49:53:00,49:40:00,50:47:00,52:02:00,52:10:00,51:54:00,52:07:00,52:40:00,52:11:00,52:50:00,52:49:00,52:40:00,52:26:00,53:31:00,53:46:00,53:36:00,54:08:00,53:37:00,52:18:00,51:40:00,52:03:00,52:28:00,52:26:00,52:41:00,52:52:00,54:12:00,55:02:00,54:43:00,56:01:00,56:09:00,58:13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Sweden,Leonora Johnson,32,29:29:23,53:24:00,58:24:00,55:18:00,Sweden,F,24,55:22:00,55:12:00,54:38:00,53:24:00,54:55:00,54:48:00,55:29:00,55:19:00,55:20:00,55:24:00,55:01:00,55:21:00,54:58:00,54:44:00,55:23:00,55:17:00,54:55:00,55:00:00,54:19:00,54:36:00,54:50:00,54:59:00,54:56:00,54:43:00,55:00:00,54:52:00,55:38:00,55:07:00,55:26:00,58:04:00,57:59:00,58:24:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Belgium,Bastiaens Wim,31,21:41:28,37:14:00,53:41:00,41:59:00,BE,M,42,37:14:00,38:45:00,40:19:00,40:45:00,41:18:00,41:41:00,42:29:00,41:58:00,42:18:00,42:22:00,41:48:00,41:40:00,41:55:00,42:03:00,41:54:00,40:54:00,41:49:00,40:29:00,39:55:00,39:26:00,40:03:00,40:22:00,40:04:00,40:14:00,40:57:00,41:56:00,43:46:00,43:34:00,44:26:00,51:23:00,53:41:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Spain,Jose Francisco Iglesias Martín,31,23:49:37,0:56,55:25:00,46:07:00,Spain,M,43,0:56,51:06:00,50:39:00,49:28:00,47:24:00,38:29:00,50:25:00,49:32:00,46:04:00,47:54:00,48:43:00,47:26:00,45:55:00,48:48:00,48:48:00,46:04:00,46:15:00,49:13:00,48:11:00,44:22:00,46:11:00,46:40:00,39:06:00,39:06:00,49:12:00,48:29:00,49:34:00,52:18:00,50:44:00,47:10:00,55:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Japan,Masayuki TAKEI,31,25:04:29,43:35:00,53:25:00,48:32:00,Japan,M,45,48:42:00,48:05:00,48:27:00,48:50:00,47:01:00,49:34:00,50:03:00,49:45:00,50:10:00,47:44:00,43:35:00,44:53:00,49:37:00,50:08:00,47:15:00,46:25:00,47:54:00,48:27:00,49:33:00,48:00:00,49:14:00,49:25:00,50:17:00,49:03:00,44:36:00,46:47:00,49:25:00,50:52:00,47:57:00,53:25:00,49:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Finland,Juha Jumisko,31,25:05:44,44:26:00,56:10:00,48:34:00,Finland,M,38,45:09:00,48:54:00,44:26:00,49:00:00,47:05:00,48:35:00,49:10:00,49:00:00,49:10:00,48:20:00,49:10:00,48:55:00,48:35:00,49:00:00,48:15:00,49:50:00,48:10:00,46:25:00,48:00:00,47:15:00,47:20:00,47:50:00,48:05:00,48:20:00,48:00:00,47:35:00,50:45:00,50:55:00,49:05:00,49:15:00,56:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Ukraine,Oleksandr Slipets,31,25:14:43,44:09:00,56:19:00,48:52:00,Ukraine,M,36,44:09:00,48:11:00,48:33:00,47:13:00,48:57:00,48:13:00,46:59:00,48:21:00,48:05:00,49:05:00,48:58:00,49:05:00,48:20:00,48:07:00,51:32:00,49:47:00,45:08:00,46:41:00,45:52:00,48:28:00,49:13:00,48:01:00,49:52:00,49:18:00,50:03:00,49:43:00,49:08:00,49:29:00,50:37:00,53:16:00,56:19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Switzerland,Matthias Dippacher,31,25:27:30,44:22:00,53:41:00,49:16:00,Germany,M,43,49:00:00,51:28:00,51:01:00,49:57:00,50:09:00,47:10:00,49:27:00,53:08:00,48:01:00,48:28:00,48:06:00,48:50:00,47:45:00,52:57:00,51:03:00,47:47:00,47:21:00,48:59:00,47:47:00,44:22:00,45:12:00,51:04:00,47:04:00,50:13:00,49:00:00,48:49:00,48:13:00,47:31:00,53:41:00,51:19:00,52:38:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,France,Alexandra Rousset,31,25:31:47,41:12:00,57:09:00,49:25:00,France,F,50,46:31:00,51:29:00,47:23:00,44:27:00,41:12:00,46:53:00,45:36:00,45:55:00,46:50:00,46:40:00,45:29:00,44:57:00,46:14:00,47:57:00,51:05:00,52:57:00,50:10:00,50:25:00,50:48:00,48:32:00,51:19:00,55:33:00,53:52:00,47:49:00,48:26:00,50:00:00,52:46:00,53:38:00,53:11:00,56:34:00,57:09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,New Zealand,Fiona Hayvice,31,25:59:16,43:33:00,54:10:00,50:18:00,New Zealand,F,,47:40:00,47:41:00,47:45:00,47:48:00,48:05:00,46:30:00,43:33:00,49:28:00,49:12:00,51:27:00,50:29:00,50:16:00,52:18:00,52:09:00,52:23:00,51:42:00,51:44:00,52:03:00,47:42:00,49:42:00,50:48:00,49:52:00,50:53:00,50:40:00,53:19:00,52:28:00,54:10:00,52:57:00,51:04:00,51:37:00,51:51:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Sweden,Malin Barrulf,31,26:13:36,47:56:00,55:39:00,50:46:00,Sweden,F,29,49:51:00,50:14:00,51:13:00,50:25:00,47:56:00,49:43:00,49:46:00,49:51:00,49:54:00,49:09:00,50:09:00,52:29:00,51:09:00,48:04:00,50:37:00,49:34:00,50:12:00,52:43:00,49:30:00,48:41:00,51:16:00,48:03:00,51:07:00,53:26:00,49:10:00,52:26:00,52:20:00,52:18:00,53:32:00,53:09:00,55:39:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
